Folder,Metadata,Cover Art,Amazon eBook Link,Amazon Print link,If No Amazon Link - then PDF Slip in Folder
Thought-fat-selection,metadata.json,thought-fat-cover.png,https://www.amazon.com/dp/B0GLKGN979,,
primavera,"Title: La Primavera Primera Author: Jefferson Richards Description: 2025 Poetry about Spring Written: 2025",primavera.png,,,2025-03-09_La-Primavera-Primera.pdf
thought-fat,"Title: Thought Fat Author: Jefferson Richards Description: 2024 Poetry on General Thoughts Written: 2024",thought-fat.png,,,2024-12-31_Jefferson_Thought-Fat.pdf
grapes-of-sag,"Title: The Grapes of Sag Author: Jefferson Richards Description: 2023 Poetry on General Thoughts Written: 2023",grapes-cover.png,,,2023-06-21_The Grapes of SAG_v4_Cropped.pdf
hospitality,"Title: Don’t Care What You Call Me as long as You Call Me For Dinner!Author: Jefferson Richards Description: 2023 Poetry on Hospitality Written: 2023",hospitality.png,,,2023-09-08_OnHospitality.pdf
